,CaptureRate_Change,Avg_G_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.35816013134084124,90.56985794210802,0.5,0.5,10.240182220616456,56.414109378272016,-276.8232452904672,50.47618175460576,-282.76117290436883,35.25898440591726
1,0.7,0.4177385700852802,90.3129012700681,0.5,0.5,11.12801159924077,65.97366275767551,-275.84773047585855,59.06022032397597,-282.76117290436883,47.79568624820179
2,0.8,0.4773170088297192,89.82609790721853,0.5,0.5,11.179860564762144,75.51919117463706,-274.8644019825408,67.62242026508721,-282.76117290436883,62.35899089487062
3,0.85,0.5071062282019387,89.72454263408784,0.5,0.5,11.616000839742096,80.29014298067659,-274.37281057522904,71.90178051988525,-282.76117290436883,70.36462366927249
4,0.9,0.5368954475741582,89.57182087783244,0.5,0.5,11.87550546783541,85.06032977825112,-273.88091834266527,76.18007523900285,-282.76117290436883,78.85892088124825
5,0.95,0.5666846669463778,89.33757574717757,0.5,0.5,11.879537343830473,89.82759324003439,-273.39061316496816,80.45703352758994,-282.76117290436883,87.8073895770819
6,1.0,0.5964738863185973,89.11818478005404,0.5,0.5,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
7,1.05,0.6262631056908167,88.95121651227814,0.5,0.5,12.101424054708561,99.35494243273288,-272.41394634638823,89.00735621507641,-282.76117290436883,107.0688189223291
8,1.1,0.6560523250630362,88.88845253550681,0.5,0.5,12.559207493769463,104.11199243354307,-271.9202492762365,93.27820119705319,-282.76117290436883,117.44830339791588
9,1.15,0.6858415444352558,88.78470458379707,0.5,0.5,12.881682780698151,108.87242416971179,-271.43437557862956,97.54562684409414,-282.76117290436883,128.29633765699677
10,1.2,0.7156307638074754,88.61919865087053,0.5,0.5,13.021359893554383,113.62637195075575,-270.94633399931655,101.81153304232204,-282.76117290436883,139.59041839228811
11,1.3,0.7752092025519144,88.29091114140714,0.5,0.5,13.28012790014269,123.13258690968854,-269.9718374232737,110.34325143486114,-282.76117290436883,163.56710196783857
12,1.4,0.8347876412963534,87.97721045313128,0.5,0.5,13.543370814712686,132.62631697969408,-269.0098258288316,118.87496982740024,-282.76117290436883,189.09954744739332
