,Load_CaptureRate_Change,Avg_Load_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,0.6248006030020277,50.784686984763354,0.5,0.5,29.999999931282126,94.37776317572249,-159.96366875297127,84.73398740026025,-169.77964216661255,94.66304661905515,0.9999999977094042
1,0.7,0.7289080694909512,50.796347273888344,0.5,0.5,30.0,94.3994325425518,-188.17437720631432,84.73398740026025,-198.01445300536108,95.10871283167722,1.0
2,0.8,0.8330155359798745,50.80273028133052,0.5,0.5,30.0,94.41129466084956,-216.40395619229042,84.73398740026025,-226.25392472479118,95.32117199614584,1.0
3,0.85,0.8850692692243364,50.80520978078563,0.5,0.5,30.0,94.4159025382682,-230.5222496486514,84.73398740026025,-240.37863871194776,95.42872247802492,1.0
4,0.9,0.9371230024687982,50.80772870171879,0.5,0.5,30.0,94.42058367617418,-244.6447395637691,84.73398740026025,-254.5053228777498,95.51548960754444,1.0
5,0.95,0.9891767357132598,50.81040465373137,0.5,0.5,30.0,94.42555663909488,-258.7699843405504,84.73398740026025,-268.6327868683109,95.58603358674405,1.0
6,1.0,1.0412304689577219,50.81133405384369,0.5,0.5,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,1.0932842022021831,50.812725973994894,0.5,0.5,30.0,94.42987055785845,-287.0242148215796,84.73398740026025,-296.8907637460486,95.66490554037752,1.0
8,1.1,1.145337935446645,50.81372272235096,0.5,0.5,30.0,94.43172290520722,-301.1519316782525,84.73398740026025,-311.0203654027563,95.70146010833665,1.0
9,1.15,1.1973916686911066,50.81476670945184,0.5,0.5,30.0,94.43366304057508,-315.2797378681859,84.73398740026025,-325.15014587495,95.73975610317807,1.0
10,1.2,1.2494454019355685,50.815719012751266,0.5,0.5,30.0,94.43543279166742,-329.4074331763037,84.73398740026025,-339.2799263471437,95.7774533739447,1.0
11,1.3,1.353552868424492,50.81761951186656,0.5,0.5,30.0,94.438964660545,-357.66527529149073,84.73398740026025,-367.5413636305687,95.84721275131506,1.0
12,1.4,1.4576603349134152,50.819535628178556,0.5,0.5,30.0,94.44252555226744,-385.92314694123525,84.73398740026025,-395.80285895286977,95.91756099579752,1.0
