,Load_CaptureRate_Change,Avg_Load_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.6249879350507587,88.8808128338387,0.5,0.5,9.258288487587283,95.83809157496736,-162.62212170748035,92.86215913323164,-165.59805415868254,8.85617392594673
1,0.7,0.7291525908925517,89.0774344412491,0.5,0.5,10.28502056159985,96.11089321742364,-189.86182771370116,92.86215913323164,-193.1105617924051,10.554273131961544
2,0.8,0.8333172467343447,89.24965152792318,0.5,0.5,11.379016754749918,96.32779265401994,-217.16666707867773,92.86215913323164,-220.6323006033482,12.010615713865677
3,0.85,0.8853995746552412,89.32917725156543,0.5,0.5,12.002774181761454,96.42554815840603,-230.8332855083785,92.86215913323164,-234.3966745252819,12.697741315260478
4,0.9,0.9374819025761378,89.39521598707995,0.5,0.5,12.464686495740185,96.51437410317257,-244.50923498616672,92.86215913323164,-248.1614499444824,13.338674144202717
5,0.95,0.9895642304970342,89.45230574307772,0.5,0.5,12.838997400503574,96.59529432892131,-258.19391945072744,92.86215913323164,-261.9270546459655,13.936298387610986
6,1.0,1.0416465584179306,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,1.0937288863388273,89.57291274555304,0.5,0.5,13.953756916082822,96.73430937248233,-285.5861676890481,92.86215913323164,-289.4583179317739,14.993547488785124
8,1.1,1.1458112142597239,89.61596111464281,0.5,0.5,14.292250563151134,96.79384383889817,-299.2937116597644,92.86215913323164,-303.2253963593166,15.45814460073245
9,1.15,1.1978935421806203,89.66375595875273,0.5,0.5,14.756305705606213,96.84917104652959,-313.0060410501833,92.86215913323164,-316.9930529724543,15.896264032555408
10,1.2,1.2499758701015167,89.70450062281861,0.5,0.5,15.139895446554426,96.89841947398101,-326.72459426758087,92.86215913323164,-330.76085459437087,16.291397481962548
11,1.3,1.3541405259433097,89.76808143722438,0.5,0.5,15.707953945728446,96.97847483628988,-354.1774140886031,92.86215913323164,-358.29750296080056,16.959586522621937
12,1.4,1.458305181785103,89.85687045169735,0.5,0.5,16.82088776009907,97.0535284048294,-381.6445187642721,92.86215913323164,-385.8358880328999,17.567576358445677
