,A_G,A_L,tau_G,tau_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L,Gamma
0,0.1,0.0,1.0,0.0,50.481831187326954,29.815360786669658,95.15692152951223,-254.06328541263179,1.8307633855207683,6.238647334222201,93.32617829675118,-254.0631087520195,0.9938453595556552
1,0.1,0.0,0.75,0.25,,,,,,,,,
2,0.1,0.0,0.5,0.5,,,,,,,,,
3,0.1,0.0,0.25,0.75,,,,,,,,,
4,0.1,0.0,0.0,1.0,49.5042176234278,29.807360067953017,93.32595105987754,-252.22621520463701,1.8368935473824877,6.27700871277765,93.32617829675118,-254.0631087520195,0.9935786689317673
5,0.1,0.5,1.0,0.0,56.10060468919675,30.0,105.748353783243,-282.79899488642104,12.422175486491781,248246.0043452239,93.32617829675118,-282.79899488642144,1.0
6,0.1,0.5,0.75,0.25,54.453126962894444,29.999999963061608,102.64289602691042,-279.6849958352073,1.9578247298097005,7.083900894747727,93.32617829675118,-282.79899488642144,0.9999999987687203
7,0.1,0.5,0.5,0.5,52.800976187997385,30.0,99.52862969949716,-276.5625053510066,1.8276810255349476,6.219447183403476,93.32617829675118,-282.79899488642144,1.0
8,0.1,0.5,0.25,0.75,51.15831484478156,29.999999963026482,96.43225072251691,-273.4582872583734,1.959116262990481,7.09305589852564,93.32617829675118,-282.79899488642144,0.9999999987675494
9,0.1,0.5,0.0,1.0,49.510511024230986,30.0,93.32617829675118,-270.34468426121873,12.454310625203021,256352.98597992794,93.32617829675118,-282.79899488642144,1.0
10,0.1,0.9,1.0,0.0,60.59860921156149,30.0,114.22698919519338,-305.7877037939435,20.900810898442217,1194281872.8175623,93.32617829675118,-305.78770379394297,1.0
11,0.1,0.9,0.75,0.25,57.82672563259551,29.999999965555904,109.00205217590229,-300.54827055064584,2.4781354522638117,11.919020104548014,93.32617829675118,-305.78770379394297,0.9999999988518635
12,0.1,0.9,0.5,0.5,55.05558697084601,29.999999965517492,103.77851933035163,-295.31180185738447,2.3479417629217503,10.464010131321983,93.32617829675118,-305.78770379394297,0.9999999988505831
13,0.1,0.9,0.25,0.75,52.26981728984926,30.0,98.52740735282782,-290.0496933257222,2.4792828716390374,11.932704068270905,93.32617829675118,-305.78770379394297,1.0
14,0.1,0.9,0.0,1.0,49.510511024230986,30.0,93.32617829675118,-284.83943465659854,20.948269137344823,1252326849.362589,93.32617829675118,-305.78770379394297,1.0
15,0.5,0.0,1.0,0.0,50.48253966086051,29.815357894413548,93.88442788785909,-254.06461708890794,9.154498963746413,9456.891025072002,84.73010890231342,-254.0631087520195,0.9938452631471183
16,0.5,0.0,0.75,0.25,49.2462042773067,29.972770684157698,91.58814007396333,-251.72848863022352,1.656027596782704,5.238460182165215,84.73010890231342,-254.0631087520195,0.9990923561385899
17,0.5,0.0,0.5,0.5,48.01858350690879,29.97363291951204,89.307002280206,-249.40868514734217,1.5294142734613616,4.61547262561203,84.73010890231342,-254.0631087520195,0.999121097317068
18,0.5,0.0,0.25,0.75,46.78897816497986,29.974128167141366,87.02212958818953,-247.0850834453583,1.6644329330607728,5.2826767688921805,84.73010890231342,-254.0631087520195,0.9991376055713789
19,0.5,0.0,0.0,1.0,45.52758339684669,29.806527397359577,84.72856966885664,-244.75383336955636,9.309275382463142,11039.945491592454,84.73010890231342,-254.0631087520195,0.9935509132453192
20,0.5,0.5,1.0,0.0,56.10060468919675,30.0,104.3335369096981,-282.79899488642104,19.603428007384686,326332711.8510227,84.73010890231342,-282.79899488642144,1.0
21,0.5,0.5,0.75,0.25,53.46555878661369,29.99999994047986,99.43298973970445,-277.81850803534576,2.4174044951117697,11.216708478991148,84.73010890231342,-282.79899488642144,0.9999999980159954
22,0.5,0.5,0.5,0.5,50.83070864690595,29.99999994047703,94.53280666181593,-272.83925799826926,2.290594137750811,9.880806497706564,84.73010890231342,-282.79899488642144,0.999999998015901
23,0.5,0.5,0.25,0.75,48.213596238362776,30.0,89.66561145914324,-267.8942586418208,2.42537289913637,11.306444796775555,84.73010890231342,-282.79899488642144,1.0
24,0.5,0.5,0.0,1.0,45.55975466369365,30.0,84.73010890231336,-262.8801036652064,19.91889122121512,447367615.7628544,84.73010890231342,-282.79899488642144,1.0
25,0.5,0.9,1.0,0.0,60.59860921156149,30.0,112.69873588489739,-305.7877037939435,27.968626982584,1401587981969.898,84.73010890231342,-305.78770379394297,1.0
26,0.5,0.9,0.75,0.25,56.839339676830996,29.99999995305837,105.70740504347316,-298.6820871874548,2.772791918616851,16.00325147236563,84.73010890231342,-305.78770379394297,0.999999998435279
27,0.5,0.9,0.5,0.5,53.08089528241051,29.99999995300988,98.71760879247687,-291.58167060763856,2.6459054020258908,14.096202037048695,84.73010890231342,-305.78770379394297,0.9999999984336626
28,0.5,0.9,0.25,0.75,49.321449739068434,29.999999952990223,91.72595064699244,-284.48248866163505,2.7805328881320173,16.12761287205434,84.73010890231342,-305.78770379394297,0.9999999984330075
29,0.5,0.9,0.0,1.0,45.55975466369361,30.0,84.73010890231328,-277.38078476783323,28.406919026109932,2172541999228.047,84.73010890231342,-305.78770379394297,1.0
30,0.9,0.0,1.0,0.0,50.48180144298197,29.950673465162318,92.6108472967876,-254.06323005193445,16.47696550390185,14317104.565441594,76.13403950787567,-254.0631087520195,0.9983557821720772
31,0.9,0.0,0.75,0.25,48.241657886683,29.97332562621763,88.50490778241799,-249.8302542734452,2.247227427700866,9.461466835976355,76.13403950787567,-254.0631087520195,0.9991108542072543
32,0.9,0.0,0.5,0.5,45.9799068151819,29.97457516170422,84.35898016236318,-245.5560942088777,2.1240310724539064,8.364788686165586,76.13403950787567,-254.0631087520195,0.9991525053901407
33,0.9,0.0,0.25,0.75,43.73843673638788,29.9758135954665,80.24988778705963,-241.31990869343707,2.2624595894625896,9.6066886425117,76.13403950787567,-254.0631087520195,0.99919378651555
34,0.9,0.0,0.0,1.0,41.48075807679429,29.934536870831923,76.1339379504094,-237.07686669853302,16.986242053486492,23824905.79570626,76.13403950787567,-254.0631087520195,0.9978178956943975
35,0.9,0.5,1.0,0.0,56.10060468919675,30.0,102.91872003615319,-282.79899488642104,26.78468052827752,428981884743.4107,76.13403950787567,-282.79899488642144,1.0
36,0.9,0.5,0.75,0.25,52.4507062404089,29.999999916990728,96.22284074518147,-275.9005259665915,2.732936750586047,15.377982068894275,76.13403950787567,-282.79899488642144,0.9999999972330242
37,0.9,0.5,0.5,0.5,48.80124790949168,29.99999991696319,89.52776889551619,-269.00458036240855,2.6095151964023824,13.592459580918797,76.13403950787567,-282.79899488642144,0.9999999972321063
38,0.9,0.5,0.25,0.75,45.15093551962988,29.999999916845212,82.83113024186929,-262.1076992380148,2.747693132325701,15.606587992582158,76.13403950787567,-282.79899488642144,0.9999999972281737
39,0.9,0.5,0.0,1.0,41.50037672760265,30.0,76.13403950787574,-255.21055452661648,27.58844035980522,958313072747.3279,76.13403950787567,-282.79899488642144,1.0
40,0.9,0.9,1.0,0.0,60.59860921156149,30.0,111.17048257460141,-305.7877037939435,35.036443066725795,1644878747567297.8,76.13403950787567,-305.78770379394297,1.0
41,0.9,0.9,0.75,0.25,55.82518945234837,29.99999994019084,102.41346015718952,-296.7658450454693,3.001492202156623,20.11553097773225,76.13403950787567,-305.78770379394297,0.9999999980063613
42,0.9,0.9,0.5,0.5,51.06654687675661,30.0,93.6835470907873,-287.77747729429836,2.877982813500016,17.778374687396894,76.13403950787567,-305.78770379394297,1.0
43,0.9,0.9,0.25,0.75,46.27708439711374,29.999999939970714,84.89709371983515,-278.73497216757573,3.0159671003540676,20.408818775477414,76.13403950787567,-305.78770379394297,0.9999999979990237
44,0.9,0.9,0.0,1.0,41.500376727602585,30.0,76.13403950787564,-269.7175387179136,36.070165076029696,4624594452246596.0,76.13403950787567,-305.78770379394297,1.0
