,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,94.65046771663779,0.5,0.5,50.661562049050026,29.99999993589651,94.84413750047986,-272.6024209892999,84.7911749638497,-282.76117290436883,102.1255524211079,0.999999997863217
1,0.7,94.65308156905328,0.5,0.5,50.69988427617532,29.999999936275078,94.74195242608472,-272.6776486573716,84.78094491701714,-282.76117290436883,100.44206074220446,0.9999999978758359
2,0.8,94.65569542146878,0.5,0.5,50.738220065057256,30.0,94.63952971496326,-272.7528906847746,84.77023236964762,-282.76117290436883,98.77471314101086,1.0
3,0.85,94.65700234767651,0.5,0.5,50.7569596036482,30.0,94.58742146824363,-272.7896972680393,84.76308012100841,-282.76117290436883,97.96318038694109,1.0
4,0.9,94.65830927388426,0.5,0.5,50.77517653950293,30.0,94.53427594195749,-272.8255126589097,84.75385163888521,-282.76117290436883,97.1749729317576,1.0
5,0.95,94.65961620009199,0.5,0.5,50.793352905363186,30.0,94.48099245705764,-272.86124864044706,84.74434551157236,-282.76117290436883,96.39206734484952,1.0
6,1.0,94.66092312629972,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,94.66223005250747,0.5,0.5,50.82913294103747,30.0,94.3731751119804,-272.9316295284277,84.72282732713,-282.76117290436883,94.85851214410421,1.0
8,1.1,94.66353697871521,0.5,0.5,50.84682408161868,30.0,94.31880547120763,-272.9664399331298,84.71114371196632,-282.76117290436883,94.1044814097535,1.0
9,1.15,94.66484390492295,0.5,0.5,50.86454842665748,30.0,94.26443667603016,-273.0013105255705,84.69946009680262,-282.76117290436883,93.3528550696901,1.0
10,1.2,94.66615083113068,0.5,0.5,50.8823060685815,30.0,94.21006872671596,-273.03624147319863,84.68777648163892,-282.76117290436883,92.60363915093801,1.0
11,1.3,94.66876468354616,0.5,0.5,50.917809236116355,30.0,94.10112768040439,-273.10607262368893,84.66399387773109,-282.76117290436883,91.11647322700479,1.0
12,1.4,94.67137853596165,0.5,0.5,50.952697880199935,30.0,93.99080945144345,-273.17473148998886,84.63745012634473,-282.76117290436883,89.66543119770354,1.0
